Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Correct Predictions (Train),Incorrect Predictions (Train),Correct Predictions (Test),Incorrect Predictions (Test),Time (Train),Time (Test)
1.0,11.23845,10.58922,63.125,75.74405,63.12,36.88,75.74,24.26,197.04382944107056,46.87953734397888
2.0,5.10634,6.88823,78.38542,79.6875,78.39,21.61,79.69,20.31,195.57823753356934,46.33495378494263
3.0,3.533,2.39815,81.45833,83.25893,81.46,18.54,83.26,16.74,199.71684646606445,46.45722556114197
4.0,2.36621,2.04932,83.55903,84.3006,83.56,16.44,84.3,15.7,196.33859634399414,45.68860054016113
5.0,1.78556,1.7343,85.52083,87.20238,85.52,14.48,87.2,12.8,193.84233331680298,47.925201654434204
6.0,1.35798,0.99277,86.16319,86.68155,86.16,13.84,86.68,13.32,194.8622808456421,45.61522626876831
7.0,1.1591,0.82759,87.10069,87.79762,87.1,12.9,87.8,12.2,196.61528491973877,45.808037757873535
8.0,0.94884,0.5767,88.21181,89.36012,88.21,11.79,89.36,10.64,194.25609970092773,45.843132734298706
9.0,0.86476,0.51799,89.0625,89.36012,89.06,10.94,89.36,10.64,192.7488293647766,45.5081787109375
10.0,0.73439,0.45526,89.46181,90.40179,89.46,10.54,90.4,9.6,189.23480820655823,45.76061177253723
